date,scope,fundamental,timing,action,gesamt,note
"2026-06-28 Europe/Berlin",Depot,9,4,3,6,"Daily Brief 06-28 (So, Boersen seit Fr 06-26 zu): keine neuen Kurse, aber 06-26-Schluesse jetzt SETTLED bestaetigt. SanDisk-Korrektur: settled -10,46% ($2.090,71) statt geschaetzt ~-5,8% -> tiefster US-Depot-Drawdown, hoechste NAND-Beta realisiert. Selloff war MEMORY-SPEZIFISCH (WDC -10,58% mit, reine HDD Seagate +0,28% entkoppelt). These bekraeftigt: TrendForce DRAM +58-63%/NAND +70-75% QoQ Q2 = Unterversorgung (Counterpoint-Oversupply erst ~mid-2027). Makro minimal leichter (Oel $69,23/Brent $71,99, 10Y 4,38%). Scores unveraendert: Fund 9/Timing 4/Aktion 3 (P0-Cap)"
"2026-06-28 Europe/Berlin","SK Hynix",9,4,3,6,"06-26-Schluss 2.673.000 -8,36% (settled bestaetigt); USD ~$1.742; US-ADR-Listing ~10.07 (BofA/Citi/GS/JPM, SEC-Freigabe ausstehend); Kernhebel intakt"
"2026-06-28 Europe/Berlin",Micron,10,4,3,6,"06-26-Schluss settled $1.132,33 -6,69% (praezisiert $1.129); fwd-KGV ~8,66; Q3-Blowout bleibt harter Anker (HBM bis 2027/28 ausgebucht)"
"2026-06-28 Europe/Berlin",SanDisk,8,4,3,5,"06-26-Schluss settled $2.090,71 -10,46% (TIEFER als Schaetzung ~$2.200/-5,8%): hoechste NAND-Beta -> tiefster US-Drawdown; JV bis 2034; Bucket-Ueberlappung Kioxia; Fundamental intakt"
"2026-06-28 Europe/Berlin",Kioxia,8,4,3,5,"06-26-Schluss 92.180 -11,24% (settled bestaetigt) = tiefste Tageskorrektur (+660% YTD); USD ~$570; Fundamental (Op-Marge ~74% Guidance) intakt"
"2026-06-29 06:00 Europe/Berlin",Depot,9,4,3,6,"start 06-29 (Mo 06:00 CEST): Asien handelt LIVE (Seoul/Tokio Mittagssession), USA noch geschlossen (00:0x ET, Eroeffnung 15:30 CEST) -> letzter HARTER Print bleibt 06-26-Schluss. Frischkurs-Versuch (3 Sprachen, mehrere Quellen) ergab KEINEN sauberen 06-29-Live/Settled-Print -> Datenluecke (siehe data_quality_checks). Suchspur (schwache Quellen): Korea-Rebound/Short-Squeeze-Narrativ + OpenAI-IPO-Verschiebung als 06-26-Selloff-Ausloeser - beide UNBESTAETIGT, keine These-Aenderung. Scores unveraendert Fund 9/Timing 4/Aktion 3"
"2026-06-29 06:00 Europe/Berlin","SK Hynix",9,4,3,6,"Kein sauberer 06-29-Live-Print (Asien Mittagssession); letzter harter Wert 06-26-Schluss 2.673.000 -8,36%; US-ADR-Listing ~10.07 bleibt Katalysator; Kernhebel intakt"
"2026-06-29 06:00 Europe/Berlin",Micron,10,4,3,6,"US vor Eroeffnung; letzter Schluss 06-26 settled $1.132,33 -6,69%; fwd-KGV ~8,66; Q3-Blowout bleibt harter Anker"
"2026-06-29 06:00 Europe/Berlin",SanDisk,8,4,3,5,"US vor Eroeffnung; letzter Schluss 06-26 settled $2.090,71 -10,46%; hoechste NAND-Beta; Bucket-Ueberlappung Kioxia; Fundamental intakt"
"2026-06-29 06:00 Europe/Berlin",Kioxia,8,4,3,5,"Kein sauberer 06-29-Live-Print (Tokio Mittagssession); letzter harter Wert 06-26-Schluss 92.180 -11,24%; Fundamental intakt"
"2026-06-29 06:34 Europe/Berlin",Depot,9,4,3,6,"start 06-29 06:34 (Mo): Frischkurs-Re-Versuch (Seoul/Tokio Mittagssession LIVE) ergab erneut KEINEN sauberen 06-29-Print -> 06-26-Schluss bleibt letzter harter Wert (SK Hynix 2.673.000, Kioxia 92.180, MU $1.132,33, SNDK $2.090,71). Neu/HARD (Korea Herald/SEDaily/Bloomberg-class): Samsung enthuellt heute ~1.000 Bio KRW/~$723 Mrd 10-J-Chip/AI-Plan auf Korea-Konferenz (Praesident Lee) -> struktureller Korea-Memory-Tailwind, kurzfristig kursneutral (war in 06-26-Selloff bekannt). Scores unveraendert 9/4/3"
"2026-06-30 Europe/Berlin",Depot,9,4,3,6,"start 06-30 (Di): FRISCHE Kurse vorhanden, Selloff lief 06-29/30 WEITER (3.-4. Abwaertsbein) - alle vier Depotwerte jetzt ~10-15% unter den ATHs vom 06-25: SK Hynix 2.628.000 (-12,0% vs ATH), Kioxia 88.450 (~-14,8%), SNDK ~$2.000 (-14,4%), MU 06-29 $1.138 dann 06-30 ~$1.088 (~-10%). KEIN These-Bruch: 'Nvidia-Produktionskuerzung'-Geruecht WIDERLEGT (Nvidia HBM-Versorgung bis 2030 gesichert, 'make more'). Fundamental 9 unveraendert. Timing 4: Momentum klar gebrochen + Event-Wand (Warsh 07-01, Payrolls 07-02), teils kompensiert durch Bewertungsreset (MU fwd-KGV ~8,7). Handlung 3 (P0-Cap). Won schwaecher (USD/KRW 1.547,79)"
"2026-06-30 Europe/Berlin","SK Hynix",9,4,3,6,"06-30-Schluss 2.628.000 -1,68% (vs 2.673.000), ~-12,0% vs ATH 2.987.000; USD ~$1.698 (Won schwaecher 1.547,79). US-ADR-Listing ~07-10 bleibt Katalysator; Nvidia-Cut-Geruecht widerlegt (Supply bis 2030 gesichert); Kernhebel intakt"
"2026-06-30 Europe/Berlin",Micron,10,4,3,6,"06-29-Schluss ~$1.138,65 +0,56% (kleine Erholung), 06-30 intraday ~$1.088 (-3-4%), ~-10% vs ATH-Schluss $1.213,56; fwd-KGV ~8,7 (komprimiert); Q3-Blowout bleibt harter Anker (HBM bis 2027/28 ausgebucht)"
"2026-06-30 Europe/Berlin",SanDisk,8,4,3,5,"06-29-Schluss $2.000,01 -4,34% (vs $2.090,71), 06-30 ~$1.994,69 ~flat, ~-14,4% vs ATH $2.335; hoechste NAND-Beta -> tiefster Drawdown; JV bis 2034; Bucket-Ueberlappung Kioxia; Fundamental intakt"
"2026-06-30 Europe/Berlin",Kioxia,8,4,3,5,"06-29-Schluss 88.450 -4,05% (vs 92.180), 06-30 TSE-Schluss noch nicht sauber; ~-14,8% vs ATH ~103.850; USD ~$546 (USD/JPY 161,96); Fundamental (Op-Marge ~74% Guidance) intakt"
"2026-06-30 Europe/Berlin",Depot,9,4,5,6,"P0 AUFGEHOBEN: Positionsdaten via Broker-Screenshot da. Handlung 3->5 (Cap entfaellt, Extension-/Trimm-Pruefung jetzt moeglich; volle 6-7 erst nach bestaetigten Limits + Order-Entscheid). Depot = 100% AI-Speicher, 0% Cash, Basis 150k (22.04.), aktuell ~271,6k (+81%), ~-12% unter Peak. LIVE-Flags ggu. vorgeschlagenen Limits: Micron 35,3% am/ueber Einzel-Max; HBM/DRAM 67,4% + NAND 32,6% beide in Warnzone; Cash 0% < Ziel 10-15%; Depot nahe -15%-Giveback-Trigger. Fundamental 9 unveraendert, Timing 4 (Momentum gebrochen + Event-Wand)"
"2026-06-30 06:35 Europe/Berlin",Depot,9,4,3,6,"Scheduled Daily Brief 06:35 CEST: Frischkurse re-verifiziert, bestaetigen 06-30-Run vom frueheren Lauf. SK Hynix 2.628.000 (Investing -2,39%/24h; ~-12% vs ATH 2.987.000). MU letzter US-Schluss 06-29 ~$1.138,65 (US 06-30 oeffnet erst 15:30 CEST). SNDK 06-29 Provider-Spread: Investing $1.988,51 vs Cache $2.000,01 (mechanischer Treiber: Russell-Reconstitution-Rebalancing 06-29). Kioxia 06-29 88.450 bestaetigt, 06-30-TSE-Schluss noch offen (TSE handelt bis 08:00 CEST). KEIN These-Bruch: Selloff-Treiber bleiben FSS-Leverage-ETF-Warnung (06-23) + Counterpoint-Oversupply + Pre-Earnings-Anxiety. Fundamental 9/Timing 4/Aktion 3 (P0-Cap) unveraendert"
"2026-07-01 Europe/Berlin",Depot,9,5,5,6,"start 07-01 (Mi): MEMORY-REBOUND am 06-30 - alle vier Depotwerte GRUEN: SanDisk ~$2.245 +7,7% (staerkster, + Bernstein PT $3.000/$0,29/GB LTA-Floor), Kioxia 89.680 +1,39%, SK Hynix 2.650.000 +0,84% (settled), Micron $1.145,50 +0,6% (von Tief $1.088 erholt). Selloff (~-10-15% vs ATH) grossteils zurueckgeholt (SNDK jetzt nur -3,9% vs ATH). Timing 4->5: erste Stabilisierung/Bounce + Bewertungsreset, ABER Event-Wand (Warsh heute, Payrolls 07-02) deckelt. Fundamental 9 unveraendert (These intakt, Bernstein-NAND-Floor stuetzt). Handlung 5. Depot ~275.570 (+83,7%), ~-10,8% vs Peak (vom -15%-Trigger weg)"
"2026-07-01 Europe/Berlin","SK Hynix",9,5,5,6,"06-30-Schluss 2.650.000 +0,84% (settled); ~-11,3% vs ATH 2.987.000; USD ~$1.700,60 (Won schwaecher 1.558,26); US-ADR-Listing ~07-10 Katalysator; 07-01 24h-Read ~-2% (Event-Wand-Anxiety); Kernhebel intakt"
"2026-07-01 Europe/Berlin",Micron,10,5,5,6,"06-30-Schluss ~$1.145,50 +0,6% (von Intraday-Tief $1.088/$1.124,66 erholt); ~-5,6% vs ATH $1.213,56; fwd-KGV ~8,7; Q3-Blowout bleibt harter Anker (HBM bis 2027/28 ausgebucht)"
"2026-07-01 Europe/Berlin",SanDisk,8,5,5,6,"06-30-Schluss ~$2.245 +7,7-8% (STAERKSTER Rebound); nur noch ~-3,9% vs ATH $2.335; Bernstein PT $3.000 (v. $1.700), LTA-Floor ~$0,29/GB=Q2-ASP; hoechste NAND-Beta beidseitig; JV bis 2034; Fundamental intakt/gestaerkt"
"2026-07-01 Europe/Berlin",Kioxia,8,5,5,6,"06-30-Schluss 89.680 +1,39% (vs 88.450); ~-13,6% vs ATH ~103.850; USD ~$551,28 (USD/JPY 162,675); FY2026 Op-Marge ~74% Guidance; Fundamental intakt"
"2026-07-01 intraday Europe/Berlin",Depot,9,4,5,6,"07-01 Intraday-Update (~07:03 CEST): 06-30-Bounce VERPUFFT. Asien eroeffnete im Plus (Nikkei >70k, SK Hynix früh +2%), drehte dann scharf ins Minus: Samsung -5,84%, SK Hynix -3,4% (2.560.000), Kioxia -1,73% (88.130); US-Vorboerse (MU/SNDK) folgt nach unten. AUSLOESER = MACRO/GEOPOLITISCHER Risk-off, KEIN These-Bruch: (1) Iran/Hormuz-Verhandlungen im Deadlock (Oel-/Lieferketten-Angst, trifft Importeure KR/JP), (2) Gewinnmitnahme nach Rally, (3) Yen-Interventionsrisiko, (4) Event-Wand (Warsh heute, Payrolls 07-02). Timing 5->4 (Bounce gescheitert + Event-Wand + Geo-Risk). Fundamental 9 unveraendert (Speicher weiter unterversorgt). Handlung 5 (kein Trigger). Swing-Faktor: Payrolls morgen + Hormuz-Eskalation"
"2026-07-01 12:30 Europe/Berlin",Depot,9,4,5,6,"start 07-01 (Mi, bestaetigter Reversal): Frischkurse re-verifiziert - Asien SETTLED close bestaetigt Reversal (SK Hynix 2.560.000 -3,40%, Kioxia 88.130 -1,73%), US PRE-MARKET jetzt klar unten (Micron $1.085,22 -5,98% / SanDisk $2.172,61 -4,45%; NICHT settled, US oeffnet 15:30 CEST). Alle vier rot -> 06-30-Bounce vollstaendig zurueckgegeben. KEIN These-Bruch: Treiber Iran/Hormuz-Deadlock-Risk-off + Event-Wand (Warsh heute, Payrolls 07-02), Speicher weiter unterversorgt (Bernstein NAND-Floor $0,29/GB, Micron-Q3-Anker intakt). Depot EUR 265.238 (+76,8%), ~-14,2% vs Peak ~309k -> ~1pp vor -15%-NAND-Trim-Trigger, ABER MU/SNDK pre-market -> US-Close abwarten, nicht auf Pre-Mkt handeln. Fund 9/Timing 4/Handlung 5/Gesamt 6"
"2026-07-01 12:30 Europe/Berlin","SK Hynix",9,4,5,6,"07-01 KRX close 2.560.000 -3,40% (settled; range 2,502,000-2,723,000); ~-14,3% vs ATH 2.987.000; USD ~$1.643,14 (Won schwach 1.558,26). US-ADR-Listing ~07-10 Katalysator; Kernhebel intakt"
"2026-07-01 12:30 Europe/Berlin",Micron,10,4,5,6,"07-01 US PRE-MKT $1.085,22 -5,98% (vs prev close $1.154,29; nicht settled, range $1.081,65-$1.088,03); ~-10,6% vs ATH $1.213,56; fwd-KGV ~8,2 (weiter komprimiert); Q3-Blowout bleibt harter Anker (HBM bis 2027/28 ausgebucht)"
"2026-07-01 12:30 Europe/Berlin",SanDisk,8,4,5,6,"07-01 US PRE-MKT $2.172,61 -4,45% (vs prev close $2.273,73; nicht settled, range $2.161,19-$2.171,29); ~-7,0% vs ATH $2.335; hoechste NAND-Beta -> tiefster Pullback; Bernstein PT $3.000/LTA-Floor $0,29/GB stuetzt Fundamental; JV bis 2034"
"2026-07-01 12:30 Europe/Berlin",Kioxia,8,4,5,6,"07-01 TSE close 88.130 -1,73% (settled; range 87,120-93,060); ~-15,1% vs ATH ~103.850; USD ~$541,78 (USD/JPY 162,675); FY2026 Op-Marge ~74% Guidance; Fundamental intakt"
"2026-07-01 (post-sale) Europe/Berlin",Depot,9,3,4,5,"NUTZER HAT GESAMTDEPOT VERKAUFT -> 100% Cash EUR 243.288 (netto, realisiert +62,2%). Ampel jetzt = WIEDEREINSTIEGS-Sicht (nicht Halten): Fundamental 9 (These intakt, Forward-KGV 7-8 = billig, KEIN These-Bruch - Verkauf war Timing/Drawdown-Entscheid). Timing 3 (schlechtes Entry HEUTE: 06-30-Bounce gescheitert, Event-Wand Warsh 07-01 + Payrolls 07-02, Iran/Hormuz-Risk-off; + Kern-Risiko: billiges Forward-KGV bei zyklischem Gewinn-PEAK = Value-Trap-Gefahr). Handlung 4 (Cash -> gestaffelter, trigger-basierter Wiedereinstieg geplant; erste Tranche erst NACH Event-Wand + Stabilisierung, nicht jetzt all-in). Gesamt 5"
"2026-07-02 Europe/Berlin",Depot,9,3,5,5,"Wiedereinstiegs-PARAMETER entschieden (Nutzer): sofort voll rein bei klugem Zeitpunkt, KEINE Cash-Reserve, 3 Namen (MU 35/SKH 33/SNDK 32). Timing 3 unveraendert schlecht: 07-01 vertiefte sich (Micron settled -10,14% $1.037,21, fwd-KGV ~7,9 = billiger), 07-02 = US-Payrolls-Print 14:30 CEST (noch nicht draussen) = binaeres Entry-Gate. Handlung 4->5: konkreter ausfuehrbarer Plan liegt vor, wartet nur auf Payrolls-Reaktion. REGEL: NICHT vor dem Print voll rein; soft/in-line -> Entry auf bestaetigte Stabilisierung; hot -> tieferen Flush abwarten (keine tieferen Tiefs), dann billiger rein. Voll investiert + keine Reserve + Einmal-Entry -> Entry-Disziplin + Zyklus-Turn-Exit sind einzige Risikokontrollen. Gesamt 5"
"2026-07-02 08:45 Europe/Berlin",Depot,9,3,6,5,"start 07-02 08:45 VOR Payrolls (14:30 CEST): Crash-Vertiefung - US-Chip-Rout 07-01 settled (MU -10,14% $1.037,21 / SNDK -11,0% $2.023,54 / SMH -5,4%; kein Einzel-Katalysator), Korea zieht 07-02 nach (KOSPI -6,4% Sidecar, SKH -12,39% 2.235.000, Kioxia -11,4%); US-Futures ~flat. KEIN These-Bruch (Sammelklage + Citrini-Warnung = Medium/Meinung, kein Hard-Datenpunkt). Fund 9. Timing 3: Messer faellt (tiefere Tiefs), binaerer Print in Stunden - JETZT kein Entry, aber Entry-Preise deutlich besser (MU fwd ~7,9 / SKH ~6,3). Handlung 5->6: Gate = HEUTE, Plan mechanisch ausfuehrbar. Gesamt 5"
"2026-07-02 08:45 Europe/Berlin",Micron,10,3,6,5,"07-01 settled $1.037,21 -10,14% (~-14,5% vs ATH $1.213,56); fwd-KGV ~7,9; Q3-Blowout-Anker + Q4-Guide $50B intakt; NQ-Futures ~flat; Payrolls-REAKTION entscheidet Entry"
"2026-07-02 08:45 Europe/Berlin","SK Hynix",9,3,6,5,"07-02 KRX close 2.235.000 -12,39% (Low -13,88%; ~-25,2% vs ATH; ~$1.438 @ 1.554,22); fwd-KGV ~6,3 (abgeleitet); tiefster Flush der Phase; ADR-Listing ~07-10 bleibt Katalysator; Close aus Mid-Quality-Quelle - vor Order verifizieren"
"2026-07-02 08:45 Europe/Berlin",SanDisk,8,3,6,5,"07-01 settled $2.023,54 -11,0% (~-13,3% vs ATH; Provider-Spread aufgeloest); Bernstein-LTA-Floor $0,29/GB intakt; hoechste Beta beidseitig: im Flush am tiefsten, im Turn am schnellsten"
"2026-07-02 12:26 Europe/Berlin",Depot,9,3,6,5,"start 12:26 (2h vor Payrolls 14:30): Lage ggue 08:45 im Kern unveraendert. Asien-Schluesse fest (SK Hynix -12,39% 2.235.000, Kioxia -11,4%). US-Vorboerse MU ~$1.111 / SNDK ~$2.082,75 = zaghafter Bounce ueber die gestrigen settled Tiefs ($1.037,21/$2.023,54), aber Provider-%-Bezug auf STALE prev-close -> verrauscht, NICHT handelbar. NEU: Hassett-Andeutung 'strong number' -> hot-Print-Risiko hoeher. Fund 9 / Timing 3 (Messer noch am Fallen, binaerer Print + hot-Risiko) / Handlung 6 (Gate heute) / Gesamt 5"
"2026-07-02 12:26 Europe/Berlin",Micron,10,3,6,5,"US-Vorboerse ~$1.111 (Bounce ueber settled $1.037,21, aber verrauscht/nicht handelbar); Q3-Blowout-Anker + Q4-Guide $50B intakt; Payrolls-Reaktion entscheidet Entry"
"2026-07-02 12:26 Europe/Berlin","SK Hynix",9,3,6,5,"KRX-Schluss 07-02 im Provider-Spread: 2.235.000 (-12,39%, Alphasquare) vs 2.301.000 (-10,12%, Google-intraday 14:37); Schluss wahrscheinlich 2.235.000. ~-25% vs ATH; guenstig (KGV ~6,3); ADR-Listing ~07-10; vor Order Schluss verifizieren"
"2026-07-02 12:26 Europe/Berlin",SanDisk,8,3,6,5,"US-Vorboerse ~$2.082,75 (leicht ueber settled $2.023,54, aber verrauscht); Bernstein-LTA-Floor $0,29/GB intakt; hoechste Beta beidseitig"
"2026-07-03 Europe/Berlin",Depot,9,4,6,5,"start 07-03 (Fr, US-Boerse ZU wg Independence-Day-observed): ENTRY-GATE-EVENT RESOLVED - US-Juni-Payrolls 07-02 SOFT (+57k vs ~110-115k erwartet, U-Quote 4,2%, Loehne zahm, Apr/Mai -74k rev) -> Hike-Angst gedaempft, Dow Rekord, ABER Memory entkoppelt und fiel WEITER (07-02: MU ~-5% ~$978, SNDK ~-13% ~$1.755, Roundhill Memory ETF -5%) auf NEUE Baer-Erzaehlung (Samsung/SK-Hynix-Kapazitaetsplaene + Capex-Peak-2026 -> NAND-Glut-Angst). 07-03 Asien-Bounce (SK Hynix +~4% 2.289.000, KOSPI +3%) = Sentiment-Korrektur, kein Fundamental-Reset. Fund 9 (These/Q3-Anker/BofA-PT $2.500/TrendForce intakt; Glut-Narrativ = Medium/Meinung, kein Hard-Bruch). Timing 3->4 (Makro-Gate soft geklaert + Korea erste Stabilisierung, ABER US-Legs 67% dark, keine bestaetigte Up-Session). Handlung 6 (Plan mechanisch, Gate live, aber US zu -> Execution fruehestens Mo 07-06). KEIN Entry heute. Gesamt 5"
"2026-07-03 Europe/Berlin",Micron,10,4,6,5,"07-02 settled ~$978 (Provider-Spread $975-992, -~5% vs $1.037,21; ~-19% vs ATH $1.213,56); fwd-KGV ~7,4 (billiger); Q3-Blowout + Q4-Guide $50B/GM ~86% intakt; 07-03 US zu (Feiertag); Entry wartet auf bestaetigte Stabilisierung bei US-Reopen Mo 07-06"
"2026-07-03 Europe/Berlin","SK Hynix",9,4,6,5,"07-03 KRX ~2.289.000 +~4% (Bounce vs 07-02 2.235.000 -12,39%; ~$1.484 @ USD/KRW 1.542); ~-23% vs ATH 2.987.000; fwd-KGV ~6,5 (sehr billig); Sentiment-Bounce, kein Fundamental-Reset; ADR-Listing ~07-10 Katalysator"
"2026-07-03 Europe/Berlin",SanDisk,8,4,6,5,"07-02 settled ~$1.755 (Spread $1.745-1.770, -~13% vs $2.023,54; ~-25% vs ATH $2.335); hoechste NAND-Beta -> erneut tiefster Drawdown; BofA PT $2.500 Buy (v. $2.100) haelt dagegen; LTA-Floor $0,29/GB; 07-03 US zu; Entry wartet auf Stabilisierung Mo 07-06"
"2026-07-06 06:15 Europe/Berlin",Depot,9,5,7,6,"start 07-06 (Mo 06:15, VOR US-Open): ENTRY-GATE-TAG. Asien bestaetigt Stabilisierung Tag 2 (SKH live +3-11% ~2.349-2.425k, KOSPI +2,71% ~8.307; Kioxia -2,1% nach Fr +9,2%), NQ-Futures +0,83%; US-Legs (MU/SNDK = 67% des Ziels) handeln erst ab 15:30 CEST -> settled Up-Tag heute Abend = Entry-Bestaetigung. Timing 4->5 (Stabilisierung verbreitert + Katalysator-Dichte: Samsung-Prelim Di, SKHY-ADR ~Fr), Handlung 6->7 (Gate kann HEUTE Abend aufloesen). Fund 9 (Analysten-EPS-Anhebungen MU, Huang Demand>Supply; Glut bleibt Medium). 10Y-Korrektur: 07-02 settled 4,49%"
"2026-07-06 06:15 Europe/Berlin",Micron,10,5,7,6,"07-02 settled $975,56 -5,49% (praezisiert von ~$978; ~-19,6% vs ATH); AH +0,15%; fwd-KGV ~7,4 (alte Schaetzungen; Analysten hoben nach Q3 an -> eher billiger); NQ-Futures +0,83%; heutiger settled Close = Gate-Leg 1"
"2026-07-06 06:15 Europe/Berlin","SK Hynix",9,5,7,6,"07-06 LIVE ~2.349.000-2.425.000 (Spread; +3-11% je nach Fr-Referenz; Fr-Schluss-KONFLIKT 2.187.000 vs 2.289.000); ~$1.522-1.572 @ 1.543,05; fwd ~6,6-6,8; KRX-Schluss 08:30 CEST = Gate-Leg 3; ADR SKHY ~07-10 bestaetigt (tentativ)"
"2026-07-06 06:15 Europe/Berlin",SanDisk,8,5,7,6,"07-02 settled $1.745,00 -14,13% (tiefer als Cache; ~-25,3% vs ATH); AH +0,98% $1.762; BofA $2.500/Bernstein $3.000/LTA-Floor intakt; hoechste Beta -> im Turn am schnellsten; heutiger settled Close = Gate-Leg 2"
"2026-07-06 ~07:00 Europe/Berlin",Depot,9,5,7,6,"start 07-06 Intraday-Update (VOR US-Open): Asien-Tag-2-Rally HAELT intraday - SK Hynix live ~2.425.000-2.468.000 (+~11% vs Fr; KOSPI +2,71% ~8.307, Samsung +4%), Kioxia 81.350 -2,3% (milder Ruecksetzer nach Fr +9,2%). US-Legs MU/SNDK unveraendert (07-02 settled $975,56/$1.745,00; US oeffnet erst 15:30 CEST, settled 22:00 CEST = Gate-Bestaetigung Leg 1+2). NEU/HARD: TrendForce reconfirmed Memory UNTERVERSORGT (DRAM +58-63% / NAND +70-75% QoQ Q2) -> Glut-Narrativ bleibt Meinung, kein Hard-Contract-Rollover. Fund 9 unveraendert. Timing 5 (Stabilisierung bestaetigt sich, ABER US-Leg offen + SK Hynix schon +11% weg vom Flush-Tief = weniger Sicherheitsmarge; 10Y 4,49% leichter Gegenwind). Handlung 7 (Gate kann heute Abend aufloesen). Gesamt 6. KEIN Entry vor settled 3x-gruen"
"2026-07-06 ~07:00 Europe/Berlin",Micron,10,5,7,6,"07-02 settled $975,56 -5,49%; US Mo noch dark (open 15:30 CEST). Analysten hoben Forward-EPS nach Q3 an -> fwd ~7,4 eher billiger; Huang: Demand>Supply auf Jahre; NQ-Futures +0,83%. Heutiger settled Close = Gate-Leg 1"
